match_key,match_date,season,top_disposal_player_id,top_disposal_player_id_value,top_goal_kicker_player_id,top_goal_kicker_player_id_value,top_fantasy_player_id,top_fantasy_player_id_value
1986-06-21|13|Fitzroy Lions|Western Bulldogs,1986-06-21,1986,45672.0,11.0,,,45672,29
1986-06-21|13|Melbourne Demons|St Kilda Saints,1986-06-21,1986,45698.0,15.0,45679.0,4.0,45679,67
1986-06-28|14|Carlton Blues|St Kilda Saints,1986-06-28,1986,45380.0,35.0,45679.0,4.0,45380,119
1986-06-28|14|Essendon Bombers|Western Bulldogs,1986-06-28,1986,45672.0,17.0,45852.0,1.0,45852,76
1986-06-28|14|Fitzroy Lions|Melbourne Demons,1986-06-28,1986,45361.0,17.0,45698.0,1.0,45698,55
1986-06-29|14|Geelong Cats|Sydney Swans,1986-06-29,1986,45840.0,11.0,45840.0,1.0,45840,41
1986-07-05|15|Carlton Blues|Fitzroy Lions,1986-07-05,1986,45361.0,12.0,45380.0,1.0,45361,45
1986-07-05|15|Essendon Bombers|Melbourne Demons,1986-07-05,1986,45852.0,17.0,45852.0,8.0,45852,130
1986-07-05|15|Hawthorn Hawks|St Kilda Saints,1986-07-05,1986,45682.0,8.0,45679.0,1.0,45682,50
1986-07-05|15|Sydney Swans|Western Bulldogs,1986-07-05,1986,45840.0,7.0,,,45840,18
1986-07-12|16|Carlton Blues|North Melbourne Kangaroos,1986-07-12,1986,45380.0,25.0,45380.0,1.0,45380,90
1986-07-12|16|Geelong Cats|St Kilda Saints,1986-07-12,1986,45679.0,14.0,45679.0,4.0,45679,90
1986-07-12|16|Hawthorn Hawks|Melbourne Demons,1986-07-12,1986,45698.0,23.0,,,45698,75
1986-07-13|16|Essendon Bombers|Sydney Swans,1986-07-13,1986,45840.0,16.0,45852.0,2.0,45852,57
1986-07-19|16|Collingwood Magpies|Fitzroy Lions,1986-07-19,1986,45361.0,9.0,,,45361,30
1986-07-20|17|Carlton Blues|Essendon Bombers,1986-07-20,1986,45380.0,14.0,45879.0,3.0,45879,55
1986-07-26|17|Fitzroy Lions|Hawthorn Hawks,1986-07-26,1986,45361.0,9.0,,,45361,19
1986-07-26|17|Richmond Tigers|St Kilda Saints,1986-07-26,1986,45679.0,11.0,45679.0,4.0,45679,63
1986-07-27|17|Melbourne Demons|Sydney Swans,1986-07-27,1986,45840.0,13.0,45698.0,3.0,45698,56
1986-08-02|18|Carlton Blues|Sydney Swans,1986-08-02,1986,45380.0,22.0,45380.0,2.0,45380,94
1986-08-02|18|Collingwood Magpies|Melbourne Demons,1986-08-02,1986,45698.0,9.0,45698.0,1.0,45698,39
1986-08-02|18|Essendon Bombers|Hawthorn Hawks,1986-08-02,1986,45852.0,2.0,,,45852,16
1986-08-02|18|Fitzroy Lions|Richmond Tigers,1986-08-02,1986,45361.0,21.0,,,45361,79
1986-08-02|18|Geelong Cats|Western Bulldogs,1986-08-02,1986,45867.0,5.0,,,45867,6
1986-08-02|18|North Melbourne Kangaroos|St Kilda Saints,1986-08-02,1986,45679.0,12.0,45679.0,8.0,45679,97
1986-08-09|19|Essendon Bombers|Richmond Tigers,1986-08-09,1986,45852.0,22.0,45852.0,11.0,45852,188
1986-08-09|19|Fitzroy Lions|St Kilda Saints,1986-08-09,1986,45361.0,23.0,45679.0,1.0,45361,67
