match_id,match_date,season,round,home_team,away_team,venue,home_score,away_score,target_home_win,target_draw,target_result,target_margin,home_win_rate_last5,away_win_rate_last5,home_avg_score_for_last5,away_avg_score_for_last5,home_avg_score_against_last5,away_avg_score_against_last5,home_win_streak,away_win_streak,home_rest_days,away_rest_days,home_ladder_points_prior,away_ladder_points_prior,home_ladder_position_prior,away_ladder_position_prior,ladder_points_diff,h2h_home_win_rate_prior,h2h_games_prior
13988,1983-07-23,1983,17,Richmond Tigers,Hawthorn Hawks,Melbourne Cricket Ground,82,146,0,0,L,-64,0.6,0.8,107.6,129.0,101.0,96.2,1,4,14.0,7.0,16,36,11.0,3.0,-20,,0
15436,1983-07-23,1983,17,Western Bulldogs,Essendon Bombers,Western Oval,107,125,0,0,L,-18,0.4,0.6,91.2,113.0,107.4,88.8,0,0,14.0,21.0,24,40,10.0,3.0,-16,0.0,1
14743,1983-07-24,1983,17,Sydney Swans,Melbourne Demons,Sydney Cricket Ground,125,112,1,0,W,13,0.2,0.8,91.6,95.0,118.8,84.2,0,4,8.0,8.0,24,28,9.0,7.0,-4,0.0,1
10739,1983-07-30,1983,18,Carlton Blues,Sydney Swans,Princes Park,119,75,1,0,W,44,0.6,0.4,112.2,100.0,98.2,110.0,2,1,7.0,6.0,36,28,4.0,8.0,8,1.0,1
11137,1983-07-30,1983,18,Collingwood Magpies,Western Bulldogs,Victoria Park,82,73,1,0,W,9,0.4,0.2,97.4,87.0,104.4,116.0,0,0,7.0,7.0,32,24,6.0,10.0,8,1.0,1
11521,1983-07-30,1983,18,Essendon Bombers,Richmond Tigers,Windy Hill,50,124,0,0,L,-74,0.6,0.4,112.8,95.8,90.0,112.0,1,0,7.0,7.0,44,16,2.0,11.0,28,1.0,1
12344,1983-07-30,1983,18,Geelong Cats,Fitzroy Lions,Waverley Park,49,111,0,0,L,-62,0.2,0.2,82.4,139.6,100.2,131.4,0,0,7.0,7.0,24,32,9.0,6.0,-8,,0
13137,1983-07-30,1983,18,North Melbourne Kangaroos,Hawthorn Hawks,Aegis Park,90,97,0,0,L,-7,1.0,1.0,127.0,140.6,94.6,93.6,10,5,7.0,7.0,48,40,1.0,3.0,8,1.0,1
14364,1983-07-30,1983,18,St Kilda Saints,Melbourne Demons,Moorabbin Oval,81,98,0,0,L,-17,0.6,0.8,112.6,103.8,117.4,91.8,3,0,7.0,6.0,16,28,12.0,7.0,-12,0.0,1
14745,1983-08-05,1983,19,Sydney Swans,Geelong Cats,Sydney Cricket Ground,75,141,0,0,L,-66,0.4,0.2,99.4,72.8,111.8,100.6,0,0,6.0,6.0,28,24,8.0,9.0,4,1.0,1
